Display,Graphics Card,Hard Drive,Keyboard,Laptop,Memory,Operating System,Processor,final price
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,256GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,14305.671109999997
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,256GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,15489.021109999998
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,256GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,14542.341109999998
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,256GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,15725.691109999998
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,512GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,14700.121109999996
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,512GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,15883.471109999997
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,512GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,14936.791109999996
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,512GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,16120.141109999997
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,15489.021109999998
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,16672.371109999993
